c_el|2RSSE.1b	p_pa|H2scaf5-aug4461	2.67
c_el|4R79.1b	p_pa|H2scaf50-aug12389	1.225
c_el|4R79.2a	p_pa|H2scaf79-aug18972	1.565
c_el|AC3.1	p_pa|H2scaf62-aug14336	0.103
c_el|AC3.10	p_pa|H2scaf1-aug9387	1.747
c_el|AC3.2	p_pa|H2scaf756-aug24627	1.8
c_el|AC7.1a	p_pa|H2scaf50-aug12354	2.686
c_el|AH6.1	p_pa|H2scaf133-aug21574	2.592
c_el|AH6.1	p_pa|H2scaf25-aug5273	2.863
c_el|AH6.1	p_pa|H2scaf29-aug7667	3.604
c_el|AH6.1	p_pa|H2scaf48-aug11532	2.643
c_el|AH6.10	p_pa|H2scaf1-aug9695	0.088
c_el|AH6.10	p_pa|H2scaf41-aug12288	0.138
c_el|AH6.11	p_pa|H2scaf41-aug12288	0.114
c_el|AH6.12	p_pa|H2scaf41-aug12288	0.119
c_el|AH6.14	p_pa|H2scaf41-aug12288	0.114
c_el|AH6.4	p_pa|H2scaf1-aug9695	0.121
c_el|AH6.6	p_pa|H2scaf22-aug6010	0.101
c_el|B0024.15	p_pa|H2scaf52-aug13153	0.429
c_el|B0024.2	p_pa|H2scaf21-aug9084	1.747
c_el|B0024.6a	p_pa|H2scaf133-aug21574	2.492
c_el|B0024.6a	p_pa|H2scaf25-aug5273	2.949
c_el|B0024.6a	p_pa|H2scaf48-aug11532	2.102
c_el|B0024.6b	p_pa|H2scaf133-aug21574	2.49
c_el|B0024.6b	p_pa|H2scaf25-aug5273	2.949
c_el|B0024.6b	p_pa|H2scaf48-aug11532	2.081
c_el|B0024.8a	p_pa|H2scaf66-aug15173	3.742
c_el|B0025.1a	p_pa|H2scaf91-aug19962	2.235
c_el|B0025.1c	p_pa|H2scaf91-aug19962	2.238
c_el|B0035.13	p_pa|H2scaf117-aug20838	1.753
c_el|B0035.13	p_pa|H2scaf117-aug20840	1.504
c_el|B0035.13	p_pa|H2scaf30-aug10809	1.594
c_el|B0035.13	p_pa|H2scaf30-aug10810	1.779
c_el|B0035.13	p_pa|H2scaf6-aug3435	1.407
c_el|B0035.18	p_pa|H2scaf91-aug19970	0.733
c_el|B0035.3	p_pa|H2scaf21-aug9251	1.019
c_el|B0035.3	p_pa|H2scaf21-aug9252	0.991
c_el|B0035.3	p_pa|H2scaf33-aug10074	1.136
c_el|B0035.7	p_pa|H2scaf12-aug1181	1.539
c_el|B0035.7	p_pa|H2scaf16-aug1597	1.539
c_el|B0035.7	p_pa|H2scaf23-aug6298	1.539
c_el|B0035.7	p_pa|H2scaf44-aug26823	1.539
c_el|B0035.7	p_pa|H2scaf44-aug26826	1.539
c_el|B0035.7	p_pa|H2scaf72-aug15623	1.539
c_el|B0035.7	p_pa|H2scaf78-aug20730	1.539
c_el|B0035.8	p_pa|H2scaf22-aug5857	1.364
c_el|B0041.6a	p_pa|H2scaf108-aug20360	1.256
c_el|B0207.12b	p_pa|H2scaf10-aug11894	2.88
c_el|B0207.12c	p_pa|H2scaf10-aug11894	2.309
